0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
304.611,206.734,0.747626,307.25,256.377,0.883546,266.737,256.374,0.809326,230.224,305.891,0.706934,213.245,286.361,0.893595,349.004,256.378,0.818985,363.338,321.594,0.781139,339.797,351.64,0.862737,300.712,380.277,0.60669,277.174,379.003,0.605056,282.402,465.152,0.498054,0.0,0.0,0.0,328.033,380.286,0.60687,328.032,465.148,0.465934,0.0,0.0,0.0,296.812,198.896,0.76875,313.735,200.198,0.753764,286.332,205.41,0.57763,328.091,206.737,0.854671,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0
303.295,206.734,0.7476,307.246,256.372,0.880811,266.742,256.369,0.808251,232.793,305.892,0.733947,213.268,286.33,0.887876,349.013,256.369,0.821197,362.085,322.893,0.78172,339.813,352.884,0.865301,300.715,382.921,0.594805,277.154,382.907,0.608885,281.13,470.37,0.440033,0.0,0.0,0.0,328.057,382.934,0.583581,328.074,476.895,0.416235,0.0,0.0,0.0,296.775,200.162,0.779521,312.434,201.479,0.757901,286.314,204.17,0.498792,328.115,206.7,0.847784,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0
300.677,209.332,0.765357,307.242,256.37,0.879556,266.742,256.372,0.810297,232.783,305.902,0.727669,214.492,286.357,0.892534,349.004,256.355,0.821573,362.075,322.863,0.770137,339.794,352.91,0.858926,300.719,380.313,0.612078,277.158,380.294,0.609177,279.801,465.177,0.491749,0.0,0.0,0.0,328.065,380.311,0.606046,328.044,465.166,0.466501,0.0,0.0,0.0,295.425,201.466,0.773729,309.856,201.51,0.794837,283.738,204.172,0.556703,328.098,204.159,0.87141,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0
300.69,210.648,0.780312,308.471,256.33,0.882658,266.762,256.324,0.820275,230.23,307.173,0.749599,214.496,286.366,0.904461,350.249,256.343,0.829746,363.349,320.281,0.794789,339.804,351.631,0.869107,300.722,382.934,0.578448,275.941,381.635,0.589595,278.531,476.897,0.505268,0.0,0.0,0.0,328.095,384.22,0.575088,329.386,476.895,0.455551,0.0,0.0,0.0,295.441,201.495,0.779672,309.861,202.78,0.798681,283.737,204.176,0.597652,328.143,205.404,0.876905,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0
300.696,205.433,0.772298,307.272,256.336,0.881575,266.761,256.34,0.81603,228.897,307.231,0.773893,213.265,286.348,0.912011,349.026,256.329,0.828627,363.335,320.309,0.775467,339.85,352.875,0.858242,300.701,384.223,0.583977,275.946,382.929,0.596017,278.49,476.898,0.485709,0.0,0.0,0.0,328.06,384.231,0.571739,328.053,476.896,0.476799,0.0,0.0,0.0,295.478,197.569,0.763997,309.869,200.171,0.754258,285.026,204.164,0.575488,328.101,206.723,0.865274,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0
299.393,205.415,0.830135,307.263,256.35,0.882098,266.756,256.346,0.814959,230.234,307.233,0.768412,213.256,287.608,0.910914,349.029,256.338,0.825565,363.361,320.299,0.784604,339.904,351.609,0.85293,301.999,384.222,0.588161,277.165,382.939,0.603737,278.545,476.895,0.506578,0.0,0.0,0.0,328.116,384.234,0.589222,328.073,470.384,0.447634,0.0,0.0,0.0,294.17,196.3,0.777015,309.819,198.885,0.787882,283.741,204.111,0.537517,328.095,205.395,0.889212,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0
300.693,209.324,0.778579,307.262,256.347,0.879425,266.755,256.375,0.801226,234.073,307.22,0.78206,213.265,287.637,0.902719,349.028,256.308,0.831723,364.634,320.249,0.800481,339.906,352.92,0.822994,303.289,382.901,0.581452,277.189,381.624,0.592833,278.504,469.08,0.462624,0.0,0.0,0.0,328.129,382.906,0.58735,328.077,467.775,0.435885,0.0,0.0,0.0,295.451,201.453,0.783349,309.868,202.765,0.803559,284.985,204.134,0.595493,328.097,205.416,0.886964,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0
304.577,205.425,0.763449,307.266,256.36,0.879795,266.748,257.596,0.813275,232.781,308.475,0.792326,213.191,287.61,0.876592,350.241,256.33,0.832356,364.647,320.262,0.796985,339.818,354.221,0.827581,303.313,382.922,0.594999,277.176,382.907,0.604532,278.556,466.482,0.503172,0.0,0.0,0.0,328.149,382.938,0.596131,328.127,469.078,0.470151,0.0,0.0,0.0,296.736,196.309,0.774735,313.744,198.881,0.742769,285.004,204.131,0.703242,328.108,204.095,0.876522,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0
304.582,208.04,0.753245,308.47,256.38,0.873011,266.761,257.635,0.797582,234.135,308.521,0.819882,213.24,287.702,0.884517,349.033,256.329,0.827413,364.661,321.569,0.769957,338.541,355.503,0.840905,303.291,381.609,0.589967,277.164,380.324,0.601895,279.797,466.478,0.497964,0.0,0.0,0.0,328.125,381.634,0.586839,328.088,467.784,0.45453,0.0,0.0,0.0,296.766,200.188,0.793705,313.752,201.483,0.775054,285.022,204.171,0.686464,328.097,205.41,0.860872,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0
301.98,209.33,0.776857,308.465,257.624,0.87477,266.761,257.663,0.79254,234.132,309.806,0.813043,213.222,290.275,0.847201,349.028,256.35,0.822748,364.643,322.868,0.763435,338.554,356.81,0.846621,304.582,382.938,0.607013,277.207,382.916,0.614139,279.838,476.894,0.544364,0.0,0.0,0.0,329.356,384.21,0.604777,328.132,476.898,0.500278,0.0,0.0,0.0,295.469,201.45,0.790924,312.423,201.52,0.791457,283.727,205.398,0.648185,328.085,205.45,0.869886,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0
300.69,210.648,0.749592,307.252,256.373,0.873154,266.744,257.638,0.805791,235.476,311.157,0.771989,213.265,295.488,0.88127,348.993,256.312,0.825364,363.358,320.294,0.790619,338.512,356.798,0.851729,303.278,380.319,0.617507,277.191,380.308,0.611616,277.264,465.185,0.556364,0.0,0.0,0.0,328.105,380.314,0.615881,326.792,465.167,0.514302,0.0,0.0,0.0,295.419,201.502,0.741176,309.855,202.759,0.770639,283.724,205.389,0.581613,328.09,205.407,0.877076,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0
